subject_id,task_part,block_condition,block_order,task_block,trial_index,stimulus,cat_type,mean_cat_reward,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
3768,learning,1,4,pets,490,images/cat3.png,neutral,0,[-1],0,2423,0,1,0,1
3768,learning,1,4,pets,492,images/rodent8.png,bad,-4,-2,0,1007,0,1,0,1
3768,learning,1,4,pets,494,images/rodent6.png,bad,-4,-3,0,887,0,1,0,1
3768,learning,1,4,pets,496,images/rabbit7.png,good,6,6,1,1209,6,5,1,1
3768,learning,1,4,pets,498,images/cat2.png,neutral,0,-2,1,810,-2,5,0,0
3768,learning,1,4,pets,500,images/rabbit7.png,good,6,6,1,714,6,6,1,1
3768,learning,1,4,pets,502,images/cat5.png,neutral,0,-2,0,1388,0,2,0,1
3768,learning,1,4,pets,504,images/rabbit2.png,good,6,5,1,1053,5,2,1,1
3768,learning,1,4,pets,506,images/rabbit2.png,good,6,7,NA,54,-5,3,1,NA
3768,learning,1,4,pets,508,images/rabbit1.png,good,6,9,NA,15,-5,5,1,NA
3768,learning,1,4,pets,510,images/rodent4.png,bad,-4,-3,0,1212,0,5,0,1
3768,learning,1,4,pets,512,images/rodent3.png,bad,-4,-5,0,538,0,3,0,1
3768,learning,1,4,pets,514,images/rodent4.png,bad,-4,-4,0,1657,0,6,0,1
3768,learning,1,4,pets,516,images/cat5.png,neutral,0,-1,0,960,0,3,0,1
3768,learning,1,4,pets,518,images/cat2.png,neutral,0,1,1,641,1,6,0,0
3768,learning,1,4,pets,520,images/cat6.png,neutral,0,-1,0,1302,0,1,0,1
3768,learning,1,4,pets,522,images/rabbit1.png,good,6,7,1,845,7,6,1,1
3768,learning,1,4,pets,524,images/cat7.png,neutral,0,-1,0,700,0,6,0,1
3768,learning,1,5,vehicles,541,images/boat2.png,bad,-5,-7,1,2311,-7,1,0,0
3768,learning,1,5,vehicles,543,images/boat8.png,bad,-5,-6,1,2175,-6,1,0,0
3768,learning,1,5,vehicles,545,images/plane7.png,good,5,5,1,1286,5,1,1,1
3768,learning,1,5,vehicles,547,images/boat1.png,bad,-5,-6,0,797,0,1,0,1
3768,learning,1,5,vehicles,549,images/train6.png,neutral,0,[1],1,1157,1,1,0,0
3768,learning,1,5,vehicles,551,images/train4.png,neutral,0,2,1,1075,2,1,0,0
3768,learning,1,5,vehicles,553,images/plane4.png,good,5,5,1,1189,5,1,1,1
3768,learning,1,5,vehicles,555,images/train4.png,neutral,0,1,1,780,1,2,0,0
3768,learning,1,5,vehicles,557,images/train1.png,neutral,0,[1],0,1221,0,1,0,1
3768,learning,1,5,vehicles,559,images/boat2.png,bad,-5,-5,0,1406,0,2,0,1
3768,learning,1,5,vehicles,561,images/plane4.png,good,5,7,1,687,7,2,1,1
3768,learning,1,5,vehicles,563,images/boat1.png,bad,-5,-3,0,679,0,2,0,1
3768,learning,1,5,vehicles,565,images/plane2.png,good,5,3,1,871,3,1,1,1
3768,learning,1,5,vehicles,567,images/train6.png,neutral,0,[1],1,736,1,2,0,0
